geom_wkt,trace_number,device_id,ts
POINT (116.391735 39.875043),1,19,2008-12-11 04:56:33+00
POINT (116.391733 39.874907),1,19,2008-12-11 04:56:35+00
POINT (116.391738 39.874763),1,19,2008-12-11 04:56:37+00
POINT (116.391742 39.874618),1,19,2008-12-11 04:56:39+00
POINT (116.391743 39.874462),1,19,2008-12-11 04:56:41+00
POINT (116.391743 39.8743),1,19,2008-12-11 04:56:43+00
POINT (116.391747 39.874153),1,19,2008-12-11 04:56:45+00
POINT (116.39175 39.874008),1,19,2008-12-11 04:56:47+00
POINT (116.39175 39.873868),1,19,2008-12-11 04:56:49+00
POINT (116.391755 39.873732),1,19,2008-12-11 04:56:51+00
POINT (116.391763 39.873593),1,19,2008-12-11 04:56:53+00
POINT (116.391778 39.873453),1,19,2008-12-11 04:56:55+00
POINT (116.391797 39.873312),1,19,2008-12-11 04:56:57+00
POINT (116.391827 39.873173),1,19,2008-12-11 04:56:59+00
POINT (116.391868 39.873038),1,19,2008-12-11 04:57:01+00
POINT (116.391912 39.872935),1,19,2008-12-11 04:57:03+00
POINT (116.391958 39.872825),1,19,2008-12-11 04:57:06+00
POINT (116.392032 39.872753),1,19,2008-12-11 04:57:28+00
POINT (116.392067 39.87267),1,19,2008-12-11 04:57:30+00
POINT (116.392105 39.872585),1,19,2008-12-11 04:57:32+00
POINT (116.39215 39.87249),1,19,2008-12-11 04:57:34+00
POINT (116.392208 39.872387),1,19,2008-12-11 04:57:36+00
POINT (116.392248 39.8723),1,19,2008-12-11 04:57:37+00
POINT (116.39231 39.87217),1,19,2008-12-11 04:57:39+00
POINT (116.392367 39.872032),1,19,2008-12-11 04:57:41+00
POINT (116.392412 39.871892),1,19,2008-12-11 04:57:43+00
POINT (116.392447 39.871742),1,19,2008-12-11 04:57:45+00
POINT (116.392463 39.871578),1,19,2008-12-11 04:57:47+00
POINT (116.392467 39.871405),1,19,2008-12-11 04:57:49+00
POINT (116.392463 39.871242),1,19,2008-12-11 04:57:51+00
POINT (116.392457 39.871083),1,19,2008-12-11 04:57:53+00
POINT (116.392445 39.870917),1,19,2008-12-11 04:57:55+00
POINT (116.392447 39.870747),1,19,2008-12-11 04:57:57+00
POINT (116.392453 39.870578),1,19,2008-12-11 04:57:59+00
POINT (116.39246 39.870487),1,19,2008-12-11 04:58:00+00
POINT (116.39247 39.870395),1,19,2008-12-11 04:58:01+00
POINT (116.392477 39.870305),1,19,2008-12-11 04:58:02+00
POINT (116.392485 39.870127),1,19,2008-12-11 04:58:04+00
POINT (116.392485 39.869957),1,19,2008-12-11 04:58:06+00
POINT (116.39248 39.869795),1,19,2008-12-11 04:58:08+00
POINT (116.392475 39.869635),1,19,2008-12-11 04:58:10+00
POINT (116.392505 39.86955),1,19,2008-12-11 04:58:11+00
POINT (116.392547 39.86939),1,19,2008-12-11 04:58:13+00
POINT (116.392637 39.869238),1,19,2008-12-11 04:58:15+00
POINT (116.392685 39.869153),1,19,2008-12-11 04:58:16+00
POINT (116.392733 39.869072),1,19,2008-12-11 04:58:17+00
POINT (116.392785 39.868992),1,19,2008-12-11 04:58:18+00
POINT (116.39284 39.868908),1,19,2008-12-11 04:58:19+00
POINT (116.392897 39.868827),1,19,2008-12-11 04:58:20+00
POINT (116.39295 39.868742),1,19,2008-12-11 04:58:21+00
POINT (116.393 39.868657),1,19,2008-12-11 04:58:22+00
POINT (116.393038 39.868573),1,19,2008-12-11 04:58:23+00
POINT (116.393068 39.868485),1,19,2008-12-11 04:58:24+00
POINT (116.393102 39.868393),1,19,2008-12-11 04:58:25+00
POINT (116.39313 39.868307),1,19,2008-12-11 04:58:26+00
POINT (116.393152 39.868218),1,19,2008-12-11 04:58:27+00
POINT (116.393168 39.868128),1,19,2008-12-11 04:58:28+00
POINT (116.393178 39.868035),1,19,2008-12-11 04:58:29+00
POINT (116.393188 39.867938),1,19,2008-12-11 04:58:30+00
POINT (116.393195 39.867843),1,19,2008-12-11 04:58:31+00
POINT (116.3932 39.867748),1,19,2008-12-11 04:58:32+00
POINT (116.393205 39.867652),1,19,2008-12-11 04:58:33+00
POINT (116.393215 39.867562),1,19,2008-12-11 04:58:34+00
POINT (116.393208 39.867462),1,19,2008-12-11 04:58:35+00
POINT (116.393207 39.867288),1,19,2008-12-11 04:58:37+00
POINT (116.39321 39.867112),1,19,2008-12-11 04:58:39+00
POINT (116.393222 39.86694),1,19,2008-12-11 04:58:41+00
POINT (116.393228 39.86685),1,19,2008-12-11 04:58:42+00
POINT (116.39324 39.866677),1,19,2008-12-11 04:58:44+00
POINT (116.393248 39.866517),1,19,2008-12-11 04:58:46+00
POINT (116.393248 39.86639),1,19,2008-12-11 04:58:48+00
POINT (116.393245 39.866255),1,19,2008-12-11 04:58:50+00
POINT (116.393238 39.866133),1,19,2008-12-11 04:58:52+00
POINT (116.393235 39.866005),1,19,2008-12-11 04:58:54+00
POINT (116.393237 39.865868),1,19,2008-12-11 04:58:56+00
POINT (116.393237 39.86573),1,19,2008-12-11 04:58:58+00
POINT (116.393235 39.865593),1,19,2008-12-11 04:59:00+00
POINT (116.393235 39.865458),1,19,2008-12-11 04:59:02+00
POINT (116.393238 39.865323),1,19,2008-12-11 04:59:04+00
POINT (116.393242 39.865185),1,19,2008-12-11 04:59:06+00
POINT (116.393245 39.865053),1,19,2008-12-11 04:59:08+00
POINT (116.393243 39.86492),1,19,2008-12-11 04:59:10+00
POINT (116.393252 39.864793),1,19,2008-12-11 04:59:12+00
POINT (116.393248 39.864668),1,19,2008-12-11 04:59:14+00
POINT (116.393265 39.864563),1,19,2008-12-11 04:59:16+00
POINT (116.393272 39.864473),1,19,2008-12-11 04:59:18+00
POINT (116.393283 39.864373),1,19,2008-12-11 04:59:21+00
POINT (116.393313 39.864265),1,19,2008-12-11 04:59:56+00
POINT (116.393327 39.864157),1,19,2008-12-11 04:59:59+00
POINT (116.393335 39.86406),1,19,2008-12-11 05:00:01+00
POINT (116.393347 39.86395),1,19,2008-12-11 05:00:03+00
POINT (116.393357 39.86383),1,19,2008-12-11 05:00:05+00
POINT (116.393367 39.863702),1,19,2008-12-11 05:00:07+00
POINT (116.393377 39.863562),1,19,2008-12-11 05:00:09+00
POINT (116.393383 39.86342),1,19,2008-12-11 05:00:11+00
POINT (116.393392 39.863287),1,19,2008-12-11 05:00:13+00
POINT (116.393407 39.863165),1,19,2008-12-11 05:00:15+00
POINT (116.393413 39.863048),1,19,2008-12-11 05:00:17+00
POINT (116.393403 39.862932),1,19,2008-12-11 05:00:19+00
POINT (116.393398 39.86283),1,19,2008-12-11 05:00:21+00
POINT (116.393392 39.8627),1,19,2008-12-11 05:00:24+00
POINT (116.393397 39.862595),1,19,2008-12-11 05:00:27+00
POINT (116.393373 39.862478),1,19,2008-12-11 05:00:31+00
POINT (116.39336 39.862378),1,19,2008-12-11 05:00:36+00
POINT (116.393458 39.862417),1,19,2008-12-11 05:00:41+00
POINT (116.393512 39.862513),1,19,2008-12-11 05:00:45+00
POINT (116.393553 39.862597),1,19,2008-12-11 05:00:51+00
POINT (116.393535 39.862685),1,19,2008-12-11 05:00:54+00
POINT (116.393538 39.86278),1,19,2008-12-11 05:00:59+00
POINT (116.393535 39.862883),1,19,2008-12-11 05:01:07+00
POINT (116.39351 39.862998),1,19,2008-12-11 05:01:16+00
POINT (116.393137 39.8634),1,19,2008-12-11 05:02:03+00
POINT (116.393083 39.863475),1,19,2008-12-11 05:02:16+00
POINT (116.393077 39.86357),1,19,2008-12-11 05:02:21+00
POINT (116.393072 39.863665),1,19,2008-12-11 05:02:32+00
POINT (116.393015 39.863737),1,19,2008-12-11 05:02:37+00
POINT (116.392992 39.863842),1,19,2008-12-11 05:02:42+00
POINT (116.392933 39.863767),1,19,2008-12-11 05:02:57+00
POINT (116.392892 39.863857),1,19,2008-12-11 05:06:01+00
POINT (116.392893 39.863952),1,19,2008-12-11 05:06:06+00
POINT (116.392807 39.863985),1,19,2008-12-11 05:06:21+00
POINT (116.39271 39.864008),1,19,2008-12-11 05:06:27+00
POINT (116.392603 39.863995),1,19,2008-12-11 05:06:31+00
POINT (116.392508 39.863975),1,19,2008-12-11 05:06:34+00
POINT (116.392387 39.863978),1,19,2008-12-11 05:06:37+00
POINT (116.392268 39.863968),1,19,2008-12-11 05:06:40+00
POINT (116.392165 39.863968),1,19,2008-12-11 05:06:43+00
POINT (116.39206 39.86397),1,19,2008-12-11 05:06:46+00
POINT (116.39195 39.863965),1,19,2008-12-11 05:06:49+00
POINT (116.391845 39.863965),1,19,2008-12-11 05:06:52+00
POINT (116.391745 39.863952),1,19,2008-12-11 05:06:55+00
POINT (116.391648 39.863923),1,19,2008-12-11 05:06:58+00
POINT (116.391552 39.863893),1,19,2008-12-11 05:07:01+00
POINT (116.391433 39.863857),1,19,2008-12-11 05:07:05+00
POINT (116.391313 39.863835),1,19,2008-12-11 05:07:08+00
POINT (116.391202 39.863823),1,19,2008-12-11 05:07:11+00
POINT (116.391088 39.863815),1,19,2008-12-11 05:07:14+00
POINT (116.390968 39.863797),1,19,2008-12-11 05:07:17+00
POINT (116.390843 39.863817),1,19,2008-12-11 05:07:19+00
POINT (116.39073 39.863805),1,19,2008-12-11 05:07:21+00
POINT (116.390628 39.863793),1,19,2008-12-11 05:07:23+00
POINT (116.390513 39.863812),1,19,2008-12-11 05:07:26+00
POINT (116.390403 39.863788),1,19,2008-12-11 05:07:30+00
POINT (116.390292 39.863833),1,19,2008-12-11 05:07:33+00
POINT (116.39019 39.863837),1,19,2008-12-11 05:07:36+00
POINT (116.390087 39.863843),1,19,2008-12-11 05:07:40+00
POINT (116.390003 39.86389),1,19,2008-12-11 05:08:04+00
POINT (116.389893 39.863912),1,19,2008-12-11 05:08:13+00
POINT (116.389803 39.863902),1,19,2008-12-11 05:08:17+00
POINT (116.389742 39.863825),1,19,2008-12-11 05:08:31+00
POINT (116.389673 39.863765),1,19,2008-12-11 05:08:36+00
POINT (116.389582 39.863803),1,19,2008-12-11 05:08:39+00
POINT (116.389497 39.863852),1,19,2008-12-11 05:08:42+00
POINT (116.389393 39.863887),1,19,2008-12-11 05:08:46+00
POINT (116.389298 39.863835),1,19,2008-12-11 05:08:51+00
POINT (116.389198 39.86381),1,19,2008-12-11 05:08:56+00
POINT (116.389088 39.863833),1,19,2008-12-11 05:09:00+00
POINT (116.388983 39.863848),1,19,2008-12-11 05:09:04+00
POINT (116.388893 39.863892),1,19,2008-12-11 05:09:06+00
POINT (116.3888 39.863883),1,19,2008-12-11 05:09:09+00
POINT (116.388705 39.863932),1,19,2008-12-11 05:09:13+00
POINT (116.388632 39.864025),1,19,2008-12-11 05:09:17+00
POINT (116.388612 39.864118),1,19,2008-12-11 05:09:22+00
POINT (116.388653 39.864198),1,19,2008-12-11 05:09:31+00
POINT (116.388592 39.864305),1,19,2008-12-11 05:09:36+00
POINT (116.388577 39.86441),1,19,2008-12-11 05:09:44+00
POINT (116.388557 39.864517),1,19,2008-12-11 05:09:48+00
POINT (116.388592 39.864612),1,19,2008-12-11 05:09:52+00
POINT (116.388613 39.864727),1,19,2008-12-11 05:09:57+00
POINT (116.388598 39.864845),1,19,2008-12-11 05:09:59+00
POINT (116.388582 39.864943),1,19,2008-12-11 05:10:02+00
POINT (116.388582 39.865057),1,19,2008-12-11 05:10:05+00
POINT (116.388557 39.865173),1,19,2008-12-11 05:10:12+00
POINT (116.388602 39.865252),1,19,2008-12-11 05:10:16+00
POINT (116.38852 39.865317),1,19,2008-12-11 05:10:20+00
POINT (116.388432 39.865287),1,19,2008-12-11 05:10:25+00
POINT (116.388352 39.86523),1,19,2008-12-11 05:10:28+00
POINT (116.388248 39.865177),1,19,2008-12-11 05:10:31+00
POINT (116.388117 39.86515),1,19,2008-12-11 05:10:34+00
POINT (116.388008 39.865118),1,19,2008-12-11 05:10:37+00
